pair_id,sentence,label,perturbation_type,split
0,The anti-Semitism of Hitler owed something to his exposure to the ideology of Lueger's politically successful Christian socialist movement in Vienna.,1,,train
0,The anti-Semitism of Report Hitler to owed something to Such his exposure to the ideology of Lueger's politically successful Christian socialist movement in Vienna one.,0,insertion,train
1,3 Features of my equals would you trick me with your creas'd and cadaverous march?,1,,train
1,3 renunciations Features of my equals mannequin would you there trick me with your palace creas'd and cadaverous march?,0,insertion,train
2,Lives there who loves his pain!,1,,dev
2,a they . Lives there who loves his pain!,0,insertion,dev
3,"for two, saith he, shall be one flesh.",1,,dev
3,"for is two,, saith he, shall be and: one flesh.",0,insertion,dev
4,That's why I--why I do a free job now and then.,1,,dev
4,That's why I--why manager I do a free job now and then.,0,insertion,dev
5,"""Nothing will jump out of bushes here anyhow,"" he said.",1,,train
5,"""Nothing will scored jump open out of bushes here discriminatory anyhow,"" tolerably he said.",0,insertion,train
6,"""He'll make a preacher out of you ""!",1,,dev
6,"""He concrete'll, added make a Sounds preacher out, of you ""!",0,insertion,dev
7,Pattern for inner lid piece E fits inside Aj.,1,,train
7,Pattern for inner were lid piece E fits have inside Aj . ready cliff,0,insertion,train
8,"16:32 And he reared up an altar for Baal in the house of Baal, which he had built in Samaria.",1,,train
8,"16:32 And a he reared up John an altar for Baal in the house of Baal, which he had built in Samaria.",0,insertion,train
9,She had cried a little because she was frightened.,1,,train
9,She had them cried a little this because she was frightened.,0,insertion,train
10,27:5 Open rebuke is better than secret love.,1,,train
10,27:5 Open rebuke with is sons better than secret love.,0,insertion,train
11,"The wolves are at my lambs!""",1,,train
11,"are? The I wolves are at my lambs!""",0,insertion,train
12,"Initial claims for jobless benefits were said to have dropped by 8,100 in the week ending March 4.",1,,train
12,"mountains Initial claims for jobless O benefits were said to the have dropped by 8,100 in the week ending March 4.",0,insertion,train
13,He was not a great favourite with his fair sister-in-law.,1,,dev
13,He was not a great favourite with his fair of sister-in-law . season of,0,insertion,dev
14,The Marquis cannot deny that he is a gentleman.,1,,train
14,"wind The Marquis cannot No deny . that he is a ""gentleman.",0,insertion,train
15,"And I know, if I had been MAD myself, I might have done a foolish thing as well as another.",1,,train
15,"And I do know, if I had been MAD myself,, I might have done fair a foolish thing as well as another . have I",0,insertion,train
16,The major studios maintain a cadre of film librarians and research specialists who look to this matter.,1,,train
16,The major studios maintain a cadre of film librarians the and research specialists who look to this matter.,0,insertion,train
17,"12:39 And there they were with David three days, eating and drinking: for their brethren had prepared for them.",1,,dev
17,"that clincher 12:39 And there they were with David three days, eating and drinking: for their brethren had prepared for them . world",0,insertion,dev
18,A brother or a sister is not under bondage in such cases: but God hath called us to peace.,1,,dev
18,"of A brother"" or a sister is not under bondage in such cases promise: but God hath called us to peace do.",0,insertion,dev
19,Other world premieres will be Gardner Read's Third Symphony and Burle Marx's Samba Concertante.,1,,train
19,measures Other world premieres will be Gardner Read's Third Symphony and Burle Marx's Samba Concertante.,0,insertion,train
20,Let me recommend Mr Elliot.,1,,train
20,Let members me with call recommend Mr Elliot.,0,insertion,train
21,There was nothing to indicate that Lauren Payne was primitive.,1,,train
21,me There was nothing not to indicate Clitus that Lauren Payne was primitive it to.,0,insertion,train
22,"""There,"" cried Bab, ""_I_ and PAPA are to dine and drink tea at The Abbey tomorrow.",1,,train
22,"""There,"" cried Bab, ""he majority _I_ and, PAPA are to dine and two drink tea at The Abbey tomorrow . the",0,insertion,train
23,"""Well, better see what I can do "".",1,,train
23,"""Well, better see what I can the . do "".",0,insertion,train
24,"""Why, my dear, what is the matter?""",1,,train
24,"""Why gave, my dear, what Stigmata is the matter Take?""",0,insertion,train
25,"20:25 It is a snare to the man who devoureth that which is holy, and after vows to make enquiry.",1,,dev
25,"20:25 It is a snare my to hand the man who devoureth am that which is holy, and after me vows to make enquiry.",0,insertion,dev
26,"His room is neat, his clothes are neat, everything seems in order; but he's absent-minded.",1,,train
26,"His room is neat"" there, his clothes are neat must "", everything seems in order; be but he's absent-minded.",0,insertion,train
27,"But not my master, man, is even that fair play.",1,,train
27,"But But not my . out master,, man, is even that fair play shops.",0,insertion,train
28,"19:1 Moreover take thou up a lamentation for the princes of Israel, 19:2 And say, What is thy mother?",1,,train
28,"19:1 Moreover take thou up the a lamentation for the princes out of Israel, 19:2 And say, What is thy mother?",0,insertion,train
29,"24:27 Prepare thy work without, and make it fit for thyself in the field; and afterwards build thine house.",1,,train
29,"24:27 Prepare thy work without to face as, and make it fit for thyself in the field; and afterwards build thine house.",0,insertion,train
30,99:1 The LORD reigneth; let the people tremble: he sitteth between the cherubims; let the earth be moved.,1,,dev
30,99:1 The LORD reigneth; . let the wild people tremble: he sitteth between he the evil cherubims; let the earth be moved.,0,insertion,dev
31,They bleed on both sides.,1,,train
31,as They agency bleed on adherence both sides'll.,0,insertion,train
32,These are the sons of Ishmael.,1,,dev
32,These are the sons of War Whale Ishmael.,0,insertion,dev
33,"and after a moment's pause, ""but you have never asked me one word about our dinner at the Pooles yesterday.""",1,,train
33,"in and after a moment's pause, ""but you have never asked me five one word about our dinner at the Pooles yesterday ."" nation",0,insertion,train
34,is he a vessel wherein is no pleasure?,1,,train
34,is he a vessel poor wherein is no wolf along pleasure?,0,insertion,train
35,"""Ah,"" he screamed, ""to every man his madness.",1,,train
35,"grind ""Ah not,"" he screamed, ""man to every man his madness.",0,insertion,train
36,Higher proportions were sampled in urban and mixed communities than in rural areas.,1,,dev
36,Higher proportions were sampled even in urban and mixed communities than in rural areas.,0,insertion,dev
37,"Can it be, though, that they anoint it with a view of making its interior run well, as they anoint machinery?",1,,dev
37,"Can it be, show though, that they anoint it with a He view of making its interior of run well, as they anoint machinery?",0,insertion,dev
38,Laertes was your Father deare to you?,1,,train
38,Whale times Laertes was your Father deare to you? character,0,insertion,train
39,"Something was happening all right, slowly it is true, but you could feel it.",1,,train
39,"Something was For happening all is right, slowly it is true were two, but you could feel it . .",0,insertion,train
40,"therefore thou shalt not come down off that bed on which thou art gone up, but shalt surely die.",1,,train
40,"therefore thou shalt not come down off that . bed on which thou art gone arm spout up, but shalt surely die.",0,insertion,train
41,"I'll dance over your grave, I will--that's the bitterest threat of your night-women, that beat head-winds round corners.",1,,train
41,"I'll dance over your grave, I will--, that's the bitterest threat of your night-women, that beat head-winds round corners.",0,insertion,train
42,"2:13 Now rise up, said I, and get you over the brook Zered.",1,,train
42,"2:13 Now rise strength up, said I, and get systems relativist you over the brook what Zered.",0,insertion,train
43,"Join B to bottom of A, scoring and reinforcing with clay coil.",1,,train
43,", thoughts Join B to bottom of horses A, scoring and . reinforcing with they clay coil.",0,insertion,train
44,The baker had in his hand the bit of wood with which he was that instant going to feed his oven.,1,,train
44,"The baker had in his hand the bit seemed of wood out with which he was that ought ""you instant going to feed his oven.",0,insertion,train
45,"""Not so extraordinary as the answer,"" remarked Father Brown rather gloomily.",1,,dev
45,"""why ""Not so platform extraordinary Who as the answer,"" remarked Father Brown rather gloomily . as",0,insertion,dev
46,He stood on the floor underneath the little Red Hen and twirled round in a circle after his own tail.,1,,train
46,He stood on the floor underneath the little Red Hen She and twirled round in a circle after his own tail been.,0,insertion,train
47,"Anne had never seen her father and sister before in contact with nobility, and she must acknowledge herself disappointed.",1,,train
47,"Anne had of never seen men her are father and sister before in contact with nobility, and she must unto acknowledge herself disappointed.",0,insertion,train
48,"""If I'm mistaken, Dr. Panado Cardamum's mistaken too, then, that's my comfort.",1,,train
48,"""If I'm mistaken, Dr. Panado Cardamum wanted's mistaken too, then, having that's my comfort.",0,insertion,train
49,"I mean, however, that the moral theologian knows what he means by ""permit "".",1,,train
49,"but I mean, however, that the moral theologian knows our what he means the by ""permit "".",0,insertion,train
50,"""He longed to see her.",1,,train
50,", but more ""He longed trying to withhold see her.",0,insertion,train
51,"He was always agreeable and obliging, and speaking pleasantly of every body.",1,,train
51,"He was always agreeable 15:34 and obliging, and speaking pleasantly of every body.",0,insertion,train
52,"Other expeditious methods are designed to prevent prolixity, limit delays, and reduce the expense of infringement suits.",1,,train
52,"Other "", expeditious to methods are designed to prevent prolixity, limit delays, and reduce the expense of infringement suits.",0,insertion,train
53,"said the Duchess, as she tucked her arm affectionately into Alice's, and they walked off together.",1,,train
53,"said the Duchess, as she tucked her arm affectionately into did Alice's, and Aubr they walked off together.",0,insertion,train
54,"27:14 If his children be multiplied, it is for the sword: and his offspring shall not be satisfied with bread.",1,,train
54,"27:14 If his children be multiplied, it is for the sword: and his he to offspring shall not be satisfied with bread.",0,insertion,train
55,"One would imagine you had never heard my father speak of her personal misfortunes, though I know you must fifty times.",1,,train
55,"One would imagine you a had paper never heard my father speak of her personal misfortunes, though I know you must of fifty times.",0,insertion,train
56,"Food may act as a sedative, giving temporary emotional solace, just as, for some people, alcohol does.",1,,train
56,"Food may act as a sedative, giving temporary emotional solace, Lilly just as, for some people, alcohol does.",0,insertion,train
57,but what doth your arguing reprove?,1,,train
57,but to what doth your so arguing reprove?,0,insertion,train
58,Then he noticed that the dry wood of the wheels had swollen.,1,,train
58,Then he noticed that the dry wood of the wheels had horrible swollen.,0,insertion,train
59,"""I will be expecting them "".",1,,train
59,"""I will were sign one be expecting a them "". are",0,insertion,train
60,is not he that sitteth at meat?,1,,dev
60,is . not he that sitteth So at meat?,0,insertion,dev
61,"2:4 Jesus saith unto her, Woman, what have I to do with thee?",1,,train
61,"2:4 Jesus saith unto her,, Woman, what on have their I to do with Hear thee?",0,insertion,train
62,"The ""C ""club is composed of the men of the College who have won an official letter in Carleton athletics.",1,,train
62,"The ""C ""club is composed of properly the men of the College who have won an official letter in Carleton athletics.",0,insertion,train
63,"It was owing to _her_ persuasion, as she thought his being out in bad weather did him a great deal of harm.",1,,train
63,"It was owing to _her_ persuasion,, as she thought his being out in bad weather did him a great deal of harm .:",0,insertion,train
64,They kept drifting apart and merging again in his mind like some minute form of life on a microscope slide.,1,,train
64,They kept drifting . apart 119:165 and merging again in his mind like some han minute form of life on It; a microscope slide.,0,insertion,train
65,"When this linear draft is completed, I dust it down to a faint image.",1,,train
65,"When this linear draft is Trust completed, I dust it down to a faint image Joe.",0,insertion,train
66,"23:18 And he said, Let him alone; let no man move his bones.",1,,dev
66,"trouble 23:18 And he said, Let him alone and; let no man move his bones was.",0,insertion,dev
67,This large discrepancy demonstrates the inadequacies of the experimental methods and the lack of understanding of the various phenomena involved.,1,,train
67,This large discrepancy her demonstrates the inadequacies of the experimental methods and the lack spirit of understanding of the various phenomena involved.,0,insertion,train
68,"Anne, finding she might decline it, did so, very gratefully.",1,,train
68,"with Anne, finding not she mightn't decline it, did States so the, very gratefully.",0,insertion,train
69,"the sun is breaking through; the clouds are rolling off--serenest azure is at hand.""",1,,dev
69,"the sun is breaking of the through; the clouds are rolling off--serenest azure is at hand.""",0,insertion,dev
70,And much this way it was with me.,1,,train
70,appearing And much this way it was your with me . Orthodox,0,insertion,train
71,"On impulse, he flipped up the heat control on his coverall and slid back the hatch of the bubble.",1,,train
71,"On impulse ., he flipped up the heat you control on his coverall and slid back the hatch of the bubble . 9:4",0,insertion,train
72,"It crawled across her breasts, suffocating the life in her nipples.",1,,train
72,"it It crawled across daughter her breasts can, suffocating 2 the life in her nipples.",0,insertion,train
73,He wisht to day our enterprize might thriue: I feare our purpose is discouered Bru.,1,,train
73,He wisht a to day our enterprize might thriue:'re I feare our So purpose is can . discouered Bru.,0,insertion,train
74,This gives a rate of shear of Af.,1,,train
74,as This gives a to rate of shear of Af.,0,insertion,train
75,They were constantly assuring you that you were one of the world's great guys.,1,,train
75,They were constantly sir of assuring you the that you were one his of the world's great guys.,0,insertion,train
76,"""The point of what?""",1,,dev
76,"""The point of what they? phonology""",0,insertion,dev
77,"106:43 Many times did he deliver them; but they provoked him with their counsel, and were brought low for their iniquity.",1,,dev
77,", 106:43 Many times did he deliver them; but rich they provoked him with sought their counsel, and were brought low water for their iniquity "".",0,insertion,dev
78,"6:3 And one said, Be content, I pray thee, and go with thy servants.",1,,train
78,"political 6:3 And one said, Be content, I pray thee, and go with thy servants.",0,insertion,train
79,Those whom I wish to address with this letter are for the most part unknown to me.,1,,train
79,"Those whom I wish to address me $with this letter mighty are, for the . most part unknown to me.",0,insertion,train
80,A site which overlooks a harbor or river may offer interest in the activities of boating traffic.,1,,train
80,A site which 60:8 overlooks a harbor or river may and offer interest in when the activities of boating traffic.,0,insertion,train
81,"15:37 In those days the LORD began to send against Judah Rezin the king of Syria, and Pekah the son of Remaliah.",1,,train
81,"15:37 In those days the LORD began to send against Judah expressed Rezin the king Graces of Syria, and question Pekah the that son of Remaliah.",0,insertion,train
82,"(Gastronomes have long argued about which came first, the Palace's or Antoine's.",1,,train
82,"(Gastronomes have long argued about this which came first, the Palace's or Antoine's.",0,insertion,train
83,"And I appreciate the advice "".",1,,train
83,"And I appreciate the and advice "".",0,insertion,train
84,"""A great many things, I assure you.",1,,train
84,""", A great many things, I assure you.",0,insertion,train
85,"Temperature, wind, oxygen content, depth, bottom character, and animal life are the chief environmental variables.",1,,train
85,"of Temperature item, wind, oxygen content, depth, put bottom character cried, and animal life think are the chief environmental variables.",0,insertion,train
86,Close behind the plane of the tappets are the locking bars.,1,,train
86,"Close anniversary behind the plane of the, the tappets are the locking and, bars.",0,insertion,train
87,You will come up with a frightening total.,1,,train
87,Questions And You will come was up with a frightening report total . a,0,insertion,train
88,"Is that--I mean,' Do you know' ""--""I know.",1,,train
88,"Is were, for that--I mean,' Do you know' ""--halfway ""I know.",0,insertion,train
89,"'That's nothing to what I could say if I chose,' the Duchess replied, in a pleased tone.",1,,dev
89,"'That's nothing to what I could say if I chose, in' the Duchess . replied ., in a pleased tone.",0,insertion,dev
90,"Therefore to Helva, the problem that she couldn't open her mouth to sing, among other restrictions, did not bother her.",1,,train
90,"Therefore to Helva, the problem It that she couldn't open her mouth to sing, among other restrictions, did not bother down her of.",0,insertion,train
91,"Seen more fully, with the evening light on his face, the strange man looked a little less like a goblin.",1,,train
91,"Seen her more fully seekin, with the evening light on his face, the strange man looked a little, less like a goblin.",0,insertion,train
92,"In one large oversimplification, it might be said that the Belgians felt, far too late, the gale of nationalism sweeping Africa.",1,,train
92,"In one large oversimplification, it There might be said that the Belgians felt, far too late, the should gale of that nationalism sweeping Africa as.",0,insertion,train
93,"Give me Bradshaw, I say!""",1,,train
93,"Give me Bradshaw, I say's!""",0,insertion,train
94,In the early spring of 1913 a few hundred thousand persons turned out to watch 5000 women parade.,1,,train
94,"of, In the early spring then of 1913 a few hundred thousand persons turned out to watch 5000 women parade.",0,insertion,train
95,"What did he know, except that the man had been at the anarchist breakfast and had told him a ridiculous tale?",1,,train
95,"What did he a know, except that the man had been at the anarchist breakfast and had told him a ridiculous We tale for from so?",0,insertion,train
96,"""You'll find it out one of these fine days!""",1,,dev
96,"""You'll find it out one her of two the these fine matter days!""",0,insertion,dev
97,"3:18 But grow in grace, and in the knowledge of our Lord and Saviour Jesus Christ.",1,,train
97,"3:18 But grow in He grace, and in keep the said knowledge of our Lord and Saviour Jesus Christ.",0,insertion,train
98,According to usage they were pumping the ship next morning; and lo!,1,,train
98,"According to usage . they were pumping, the ship My next morning it; up and lo!",0,insertion,train
99,Make up your mind to pool your resources and get the most out of your remaining years of life.,1,,dev
99,Make up your mind to pool your offsetting resources and get the most out of done your remaining years of life.,0,insertion,dev
100,"O lands, would you be freer than all that has ever been before?",1,,train
100,"O lands; provides, would you be freer than all speech that has ever been before? not",0,insertion,train
101,"Only let me go on, and you'll come to something that will plase you.",1,,dev
101,"Only let me are go on, and you back he'll Complete come to something that will plase from you.",0,insertion,dev
102,This confuses me no end.,1,,dev
102,"valour This confuses LORD me ""no end . sore",0,insertion,dev
103,"""You are very brave "".",1,,train
103,"""You are with very brave """".",0,insertion,train
104,"I will never believe it!""",1,,train
104,"type I coal will never believe basic it!""",0,insertion,train
105,"7:4 And when they come from the market, except they wash, they eat not.",1,,train
105,"7:4 And when they categories come from the market, except they wash,, they eat not.",0,insertion,train
106,"For example, a boy may inherit a small jaw from one ancestor and large teeth from another.",1,,dev
106,"For example, a boy may inherit a small jaw from one ancestor and king large teeth from another.",0,insertion,dev
107,"Aye, aye; and powder in the pan;--that's not good.",1,,train
107,"Aye, aye; was no and powder in the pan unto;--that's wonders not good.",0,insertion,train
108,"""Never, never!""",1,,train
